region_name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Perú,58.6989761,55.5846468,49.1493811,42.4332492,37.3059916,33.4972572,30.7732384,27.8242894,25.8107825,23.9117447,22.7273814,21.7716481,20.7423825,21.699987,20.4879726,20.1933799,30.1331531
Amazonas,71.4886359,74.6478117,67.5563587,58.0806381,59.1334411,56.2866018,50.4525431,44.5593639,44.4789346,47.313847,51.3110131,42.2871405,39.7099734,34.8803322,33.5129284,30.4886554,36.1186911
Ancash,62.2374351,55.3049747,43.3678349,41.784319,34.9137184,30.2910625,27.0779537,27.2074868,27.4333465,23.5049041,23.9425586,24.0456422,21.6789143,22.3566028,20.3144379,17.54174,29.8279415
Apurímac,70.3739566,74.5200224,70.5930936,71.4420771,70.431653,72.021733,62.0041685,56.9729574,55.5120533,42.7587313,42.5873603,38.6645083,38.1611576,35.9015098,31.7672468,29.0862922,35.4678958
Arequipa,39.9527531,28.537358,26.4292605,22.94384,15.1876839,17.5480076,13.6299331,11.4983386,11.9026877,9.0521037,7.7723188,8.2370302,8.3070414,8.0602202,8.5790737,6.0091346,18.5647609
Ayacucho,72.427986,78.5853923,77.284153,67.6083157,61.0741691,58.8161596,48.2029281,52.7246691,52.6223756,51.9202031,47.3691369,40.7246236,37.4586446,35.6070158,37.4632436,39.3552108,46.3663011
Cajamarca,77.6627415,75.3974445,69.6663608,68.4105691,61.0848561,62.0840467,55.1682215,55.8173902,54.164964,52.893825,50.6527445,50.8486174,48.2337812,47.5327595,41.8830435,37.9598833,42.5329801
Cusco,63.9462641,60.8916173,53.7557957,54.4254206,50.8297734,40.4417517,42.7326828,29.6544676,21.9173283,18.7796304,18.6843509,17.5957675,20.4341683,25.2498113,22.9435922,23.0005138,32.1401339
Huancavelica,92.7603348,92.6608492,89.128987,84.9831776,79.4594429,75.624606,62.9989052,54.6377881,49.4681928,46.5548491,52.281189,45.1555075,44.6803306,38.8825699,38.7220757,36.9097616,47.6688579
Huánuco,84.9428339,78.8488453,76.6826501,66.4453408,62.1666,58.8636894,54.6812904,54.1254862,44.916054,40.1080184,39.9589285,35.602661,32.6540154,34.295342,29.8619181,29.3688035,42.562335
Ica,43.1264454,34.7654958,28.7471663,23.2810763,20.4593301,14.024586,12.436521,10.9096718,8.0788897,4.6567128,4.0921371,4.96037,3.0266077,3.2776168,3.0717723,2.5791305,8.5107756
Junín,56.1581284,61.7143896,49.5461153,44.4055731,36.8240839,31.7669431,28.443422,24.1119878,23.7303399,19.5153667,18.1587202,19.0980726,17.4902657,21.2076039,21.4765399,20.6600271,31.4005939
La Libertad,58.8886714,49.1527237,49.6848362,39.0522229,38.5860584,35.158676,31.421462,29.3695081,30.6326672,29.4560057,27.4223922,25.8603571,24.4682921,23.483815,20.8306044,24.7295123,31.9296512
Lambayeque,58.2933709,56.8989028,50.9199422,49.9474246,37.3064429,37.0931637,38.2183699,30.4075672,25.243706,24.7453933,24.6988698,20.7616716,14.8117092,18.4886709,11.9944884,10.2199943,15.769481
Loreto,74.6181085,74.9811896,69.900728,57.5226743,52.9941825,54.7254907,49.7731283,48.1352621,41.7758715,37.4054234,35.241175,34.9708489,34.165055,35.318844,32.7169663,32.1626985,33.0998129
Madre de Dios,29.1436955,31.3433836,20.3410555,13.8588392,11.8304013,6.1304686,5.0122344,4.1477311,2.3558152,3.7591884,7.343881,7.1468936,7.5172162,4.5666359,3.2153418,9.1511067,11.2864678
Moquegua,50.8342835,36.8772474,35.0127494,29.6982801,28.7805324,18.9524263,14.2782657,10.8623031,9.5583621,8.7048833,11.8474474,7.765525,9.6454304,9.2011937,8.6909824,9.2334647,18.2177701
Pasco,67.1275266,71.0219617,65.5372371,59.5866693,58.0672812,47.2790786,36.3172397,40.7010808,41.881921,46.563481,39.0296768,38.5303346,35.8355258,38.547472,34.990735,30.3149616,44.8384593
Piura,73.3750873,70.1366927,65.0261388,54.1597098,49.4197995,42.4120875,44.2507231,35.1809126,34.8747204,35.1114723,29.6138431,29.4317349,30.7044643,28.6553722,27.5334288,24.1822329,34.9789364
Puno,79.3053492,74.1209472,71.273779,59.9059745,54.09761,49.2485402,48.6278988,39.149229,35.9024091,32.4342275,32.8137576,34.6408579,34.8459566,32.7235051,36.9872684,34.6727388,42.5169256
San Martín,67.8793028,67.9264608,70.9644237,56.1132282,42.8941315,48.2831758,36.8924231,31.0290813,29.6472446,29.9890525,28.3972638,27.5514161,23.5270881,26.0960854,24.8919133,25.3766847,26.0042629
Tacna,43.2742231,42.4685028,31.5046013,26.6260374,21.0961215,17.6949568,14.1871138,16.6050248,11.6932383,11.8453722,11.769048,15.1326078,14.5524812,13.9202215,13.5762151,13.276889,23.2449779
Tumbes,35.9859913,23.5015503,20.2938103,22.4849709,20.9487724,20.2279286,19.7377236,13.9414383,11.6970567,12.7260073,15.0448063,12.9769619,11.88113,11.8282731,10.9039631,13.6876045,32.5772168
Ucayali,60.6608634,57.907652,59.2185746,47.0090171,36.0478679,30.7506291,21.6716367,13.5322127,13.2356312,13.4058721,13.9313569,11.4400236,12.6798425,13.8861737,10.6339776,12.3235016,21.182425
Lima Provincias,53.1703933,44.4615616,34.5165191,32.2740758,24.0118914,24.5985486,19.8266852,17.5076771,13.3851841,16.5030719,14.2902071,17.4962702,11.5789941,14.9382416,14.1919809,14.4775845,26.4677448
Lima Metropolitana,44.6567535,42.438092,32.6673516,25.1451924,21.6547616,16.1042975,15.8404095,15.6392101,14.5415941,12.8307696,11.7822149,10.9528773,10.9982194,13.29488,13.1273404,14.1995671,27.4729435
